Codigo;Descricao;Tipo;Unidade;Familia;Desc.Familia;Pos.IPI/NCM;Descr.Espec.;Materia Pri.;IPI de Pauta;Observacao;Serie
000000000000050;FUNTEL;GG;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000051;PIS;GG;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000052;COFINS;GG;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000053;ISS;GG;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000054;INSS;GG;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000055;ICMS;GG;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000056;IRPJ;GG;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000057;BOTINA PU/BID. C/CADARCO C/BIQ;PA;P;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000058;"ALICATE UNIVERSAL 8"" TRAMAONTI";PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000059;CHAVE FENDA/PHILLIPS 10PCS;PA;JG;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000060;MANGOTE DE RASPA;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000062;CAIXA P/ FERRAMENTA BAU RETO;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000063;DISCO SERRA ALUM/MADEIRA 100D;MC;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000064;PARAFUSO ALLEN CC INOX M3X10;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000065;PARAFUSO ALLEN CC INOX M10X30;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000066;DISCO DE LIXA  F224 4.1/2  G36;MC;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000067;MACHO MQ 2501PH TIT 3X0,5;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000068;KIT SUPRENS ABRAC C/ 3MTS;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000069;PORTA ELETRO SUP 300 AMPERES;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
