FRAME DPS 475  LEITCH;DPS 475;BG475A0048;4156;;ALMOX-A3;10/08/2023;ALM A4 12/09/2021(INVT 08/2023);;
MONITOR C24F390FHL SAMSUNG;C24F390FHL;Y2U6HX5T701311M;8564;;PREDIO 197;13/06/2023;INSTALADO PREDIO 197 13/06/2023 (INVT);13/06/2023;
MONITOR C24F390FHL SAMSUNG;C24F390FHL;Y2U6HXM600155X;8563;;PREDIO 197;13/06/2023;INSTALADO PREDIO 197 13/06/2023 (INVT);13/06/2023;
MONITOR 22MK400H LG;22MK400H;909SPMZ0U659;8565;;PREDIO 197;13/06/2023;INSTALADO PREDIO 197 13/06/2023 (INVT);13/06/2023;NÃO CONST. SISTEMA
TELEFONE IP GRP2601 GRANDSTREAM;GRP2601 VOIP;22MTDSGM605E6ED1;8568;;PREDIO 197;13/06/2023;INSTALADO PREDIO 197 13/06/2023 S.NANCI(INVT);13/06/2023;
NOTEBOOK ASPIRE 5 N20C4 ACER;ASPIRE 5 N20C4;NXAULAL00621901E8D9Z00;8569;;PREDIO 197;13/06/2023;INSTALADO PREDIO 197 13/06/2023 S.NANCI(INVT);13/06/2023;
NOTEBOOK ASPIRE 5 N20C4 ACER;ASPIRE 5 N20C4;NXAULAL005151006739Z00;8208;;PREDIO 197;13/06/2023;INSTALADO PREDIO 197 13/06/2023 S.NANCI(INVT);13/06/2023;
BELT PACK EM-202 ALTAIR;EM-202;1400478EM;4070;CASA.47;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
CAIXA MSP3 YAMAHA;MSP3;MI01446;4833;ALMOX;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
CAIXA MSP3 YAMAHA;MSP3;MJ01231;4834;ALMOX;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
CAMERA PMW-200 SONY (04);PMW-200 (VER OBS);C.104856 A/C.3240 F.3781;8560;PEDRO PIMENTEL;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
CAMERA PMW-200 SONY (09);PMW-200;C.104921 A/C.0458 F.3938;4363;EMPRESTIMO PEDRO PIMENTEL;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
CONTROL MINI STREAM DECK XL ELGATO;20GAT9901;CL22K1A09977;7482;LIVE MODE RIO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);14/11/2022;DANFE: 004188 - DIEGO RAMOS
CONTROL MULTIM S-PRO-V2 CONTOUR;SHUTTLE PRO V2;116396;4643;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);04/01/2022 (V.ALEX) SEM NOTA;
CONTROL MULTIM S-PRO-V2 CONTOUR;SHUTTLE PRO V2;321246;4644;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);04/01/2022 (V.ALEX) SEM NOTA;
HEADSET  EMIX-H20 XPG;EMIX-H20 (PRETO);SEM SERIAL;8168;CBOL 366;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);16/02/2023;VEIO CBOL 366 (WILSON)
HEADSET  EMIX-H20 XPG;EMIX-H20 (PRETO);SEM SERIAL;8169;CBOL 366;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);16/02/2023;VEIO CBOL 366 (WILSON)
HIBRIDA MULTI-LINE INKEEPER 4;MULTI-LINE;IN402078;4934;ALMOX;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
INTERCOM EF-204 ALTAIR;EF-204;1400102EF-204;4933;ALMOX;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
INTERCOM EF-204 ALTAIR;EF-204;1300083EF-204;4278;ALMOX;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
INTERFACE DE AUDIO  OLYMPIA 3 AEQ;OLYMPIA 3;102870;7933;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);10/01/2023;DI: 23/0046181-0
MESA AUDIO SQ-5 ALLEN & HEATH;SQ-5;SQ5X-001014271;7196;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);DI--22/1441278-5   (01/08/2022)  ;
MESA COMUNIC OLYMPIA 3 AEQ;OLYMPIA 3;90743;8561;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);31/08/2020;
MESA COMUNIC OLYMPIA 3 AEQ;OLYMPIA 3;90747;1270;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);31/08/2020;
MESA COMUNIC OLYMPIA 3 AEQ;OLYMPIA 3;94271;1216;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);31/08/2020;
MIC PAINEL NTERCOM ALTAIR;PAINEL INTERCOM;SEM SERIAL;7235;ALMOX;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
"MONITOR 32LW300C LG ""32""";32LW300C;609AZDB90338;8550;CROSSMEDIA;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);15/06/2021;
MONITOR 55LV3500 LG;55LV3500;109AZDB64162 ;8532;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
MONITOR DT-V9L1DU JVC;DT-V9L1DU;07590012;8533;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);;
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA008925;8156;CBOL 366;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);16/02/2023;VEIO CBOL 366 (WILSON)
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA008938;8159;CBOL 366;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);16/02/2023;VEIO CBOL 366 (WILSON)
PAINEL SWITCHER ATEM 2M/E BLACKMAGIC;ATEM 2M/E CONSTELLATION HD;7086585;4020;CASA.01;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);06/11/2020 LAUDSON;
ROTEADOR CCR2004-16G MIKROTIK;CCR2004-16G;HD5083QFWQ1/238;8024;BELO HORIZONTE;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);22/02/2023;WILSON TI  CBOL 366
VMIX RYZEN 5975 PRO;VMIX;XXX;8164;CBOL 366;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);16/02/2023;VEIO CBOL 366 (WILSON)
REMOTE CAMERA RC-IP100 CANON;RC-IP100;2O8U0278;8373;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);05/05/2023;DI: 23/0852418-8
REMOTE CAMERA RC-IP100 CANON;RC-IP100;2O8U0279;8375;NOVO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);05/05/2023;DI: 23/0852418-8
ENCODER KYRION CM5000E ATEME;KYRION CM5000E;2311-00535;8421;CASA.62;CASA.20;12/06/2023;INSTALADO C.20 12/06/2023 (SAIU DO C.62);12/05/2023;DI: 23/0906295-1
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCM7XA007230;7367;LIVE MODE RIO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);24/03/2023;VEIO CBOL 366 (WILSON)
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCM9XA001310;7736;LIVE MODE RIO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);24/03/2023;VEIO CBOL 366 (WILSON)
HEADSET RGB SONAR SLR-02 GALAX;SONAR SLR-02 BRANCO;SEM SERIAL;8549;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
"MONITOR TECNICO 17"" KUM-1710W KONVISION";KUM-1710W;1710A23-E015;8520;IMPORTAÇÃO;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);02/06/2023;DI: 23/1056900-2
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA008933;8534;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;NÃO CONST SIST (PREDIO 197)
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA004572;8535;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;NÃO CONST SIST (PREDIO 197)
VMIX RYZEN 5950 PRO;RYZEN 5950;XXX;8536;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
VMIX RYZEN 5950 PRO;RYZEN 5950;XXX;8537;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA009028;8538;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD S27E332H SAMSUNG;S27E332H;Y4E2HX5N500167N;8539;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
HEADSET RGB SONAR SLR-04 GALAX;SONAR SLR-04 ;SEM SERIAL;8540;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
HEADSET RGB SONAR SLR-04 GALAX;SONAR SLR-04 ;SEM SERIAL;8541;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD S27E332H SAMSUNG;S27E332H;Y4E2HX5N500157N;8542;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD S27E332H SAMSUNG;S27E332H;Y4E2HX5N300160H;8543;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
VMIX RYZEN 5950 PRO;RYZEN 5950;XXX;8544;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA009025;8545;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA005331;8546;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
VMIX RYZEN 5950 PRO;RYZEN 5950;XXX;8547;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
HEADSET RGB SONAR SLR-04 GALAX;SONAR SLR-04 ;SEM SERIAL;8548;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA009018;8551;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
CONTROL XL MK2 NOVATION;XL MK2 ;A892050034162;8552;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
HEADSET RGB SONAR SLR-04 GALAX;SONAR SLR-04 ;SEM SERIAL;8553;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
HEADSET RGB SONAR SLR-04 GALAX;SONAR SLR-04 ;SEM SERIAL;8554;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA005229;8555;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA002662;8556;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
VMIX RYZEN 5950 PRO;RYZEN 5950;XXX;7407;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
VMIX RYZEN 5950 PRO;RYZEN 5950;XXX;7410;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
HEADSET RGB SONAR SLR-04 GALAX;SONAR SLR-04 ;SEM SERIAL;8557;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR LCD M2470SWH2 AOC;M2470SWH2;HBCLCXA008922;8558;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
MONITOR 55LV3500 LG;55LV3500;109AZWS64169;8559;;PREDIO 197;12/06/2023;INTALADO PREDIO 197 12/06/2023 (INVT 2023);12/06/2023;
SPECTRUM ANALYZER 8594E HP;8594E;3911A08374;8303;CASA.62;CASA.20;11/06/2023;INSTALADO C.20 11/06/2023 (WARLEY);;
FILTRO 5G SATÉLITE BANDA-C 3.80 A 4.20 GHz COMBO;N/C;N/C;8326;CASA.62;CASA.20;07/06/2023;INSTALADO C.20 07/06/2023 (ESTAVA C.62 PEDRO/WARLEY);03/04/2023- FEITO CADASTRO;
UP CONV.AZIM.NTC/2142 NEWTEC;NTC/2142;40000044;4839;BOM JESUS DA LAPA;ALMOX-A3;10/08/2023;ALM A3 07/06/2023 (V.CASSIO/PEDRO)(INVT 08/2023);;
MODULADOR UC-250+ UPCOM;UC-250L+;M007452;8531;F&F;ALMOX-F2;18/08/2023;ALM F2 07/06/2023 (V.F&F CASSIO);07/06/2023;VEIO F&F WORK (BOM JESUS)
BATERIA BPL-100S-12 ENERGIA;BP-U60;;1765;;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);;
BATERIA BPL-100S-12 ENERGIA;BP-U60;;1767;;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);;
CAM HDK-77EX IKEGAMI;HDK-77EX;AA64010E;8184;;VILA MATILDE BIG;06/06/2023;DEFEITO CONT.02 26/09/2022 (INVT);06/07/2020 (NÃO SEI SE É NOSSA);
CAM HDK-77EX IKEGAMI;HDK-77EX;AA57645E;7237;;VILA MATILDE BIG;06/06/2023;INSTALADO C.07 26/09/2022 (INVT);06/07/2020 (NÃO SEI SE É NOSSA);
CCU 8S89 IKEGAMI;8S89;AA72743E;4212;CASA.07;VILA MATILDE BIG;06/06/2023;ALM B2 29/09/2022;06/07/2020;
CCU 8S89 IKEGAMI;8S89;AA72742E;4385;CASA.07;VILA MATILDE BIG;06/06/2023;SAIU CASA .07 P/ALMOX (DODO);06/07/2020;
CCU 8S89 IKEGAMI;8S89;AA72751E;4721;CASA.07;VILA MATILDE BIG;06/06/2023;ALM B2 29/09/2022;06/07/2020;
CCU 8S89 IKEGAMI;8S89;AA72748E;4720;CASA.30;VILA MATILDE BIG;06/06/2023;ALM RACK 03 31/10/2022 (V.C.30 OSMAR);06/07/2020;
CCU 8S89 IKEGAMI; 8S89;AA72749E;4060;ALMOX;VILA MATILDE BIG;06/06/2023;ALM B2 29/09/2022;;
CONV  SDI TO HDMI  BLACK MAGIC;SDI TO HDMI ;463237;7877;CASA.18;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);F&F  21/12/2022;VEIO F&F WORK
CONVER SDI TO AUDI BLACK MAGIC;SDI TO AUDIO;1641261;1518;;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);;
CONVERSOR FIBRA FIDO-R AJA;FIDO  -R;K0264854;7066;CASA.28;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);24/06/2022 (NÃO CONST. SIST);
CONVERSOR FIBRA FIDO-T AJA;FIDO  -T;K0250685;7065;CASA.28;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);24/06/2022 (NÃO CONST. SIST);
CONVERSOR FIBRA OP BLACK MAGIC;FIBRA OP 12G;5972150;1043;;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);13/03/2020;
CONVERSOR FIBRA RECEPTOR   SEEONE;RX FIBRA;SEM SERIAL ;7290;CASA.28;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);04/10/2022 NF: 000000381 SEEGMA;
CONVERSOR FIBRA TRANSMISSOR  SEEONE;TX FIBRA ;SEM SERIAL ;7291;CASA.28;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);04/10/2022 NF: 000000381 SEEGMA;
LENTE HD XA20SX8.5-K3 FUJINON;XA20SX8.5BERM -K3;A66013245;8528;;VILA MATILDE BIG;06/06/2023;HOJE;;
LENTE KJ20X 8.2B CANON;KJ20X 8.2B;82719069;7239;;VILA MATILDE BIG;06/06/2023;SAIU C.07 08/08/2022 (DODO);12/07/2021 NÃO CONSTAVA NO SISTEMA;
MINI CONVERSOR .SDI/HDMI BLA.MAGIC;SDI TO HDMI;717476;0024;VILA MATILDE;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);;
MODULADOR NS3000 NOVELSAT;NS3000;3047130147;8151;LABORATORIO ;ALMOX-A2;07/08/2023;ALM A2 06/06/2023 (V.FLY 03 LUCAS) (INVT 08/2023);15/02/2023;VEIO F&F WORK
MODULADOR NS3000 NOVELSAT;NS3000;717;7596;LABORATORIO ;ALMOX-A2;07/08/2023;ALM A2 06/06/2023 (V.FLY 03 LUCAS) (INVT 08/2023);23/02/2023;VEIO F&F WORK
MONITOR AUDIO E-MON-1 DOLBY WOHLER;E-MON-1 DOLBY;96377;4906;ALMOX-B2;CASA.33;18/08/2023;INSTALADO C.33 18/08/2023 (LUCAS);28/03/2022 - DI-22/0566706-7;
REMOTE  OCP 100 IKEGAMI;OCP - 100;AB08639E;8017;EMPRESTIMO ARAMIS;VILA MATILDE BIG;06/06/2023;SAIU ARAMIS 13/06/2022 (EMPRESTIMO);13/06/2022 (TAVA PATRIMONIO MOTION);
REMOTE  OCP 100 IKEGAMI;OCP - 100;AB16539E;4611;CASA.07;VILA MATILDE BIG;06/06/2023;SAIU CASA.07 P/AMOLX 06/12/2022 (OSMAR);22/12/2021 (V.JONAS V.MATILDE);
VT XDCAM PDW-F75 SONY;PDW-F75;10472;7014;CASA.38;VILA MATILDE BIG;06/06/2023;ALM C2 20/01/2021 (V.DODO/OSMAR);;
"MONITOR TECNICO 17"" KUM-1710W KONVISION";KUM-1710W;1710A23-E014;8524;IMPORTAÇÃO;VILA MATILDE BIG;06/06/2023;ALM C4 02/06/2023 (VEIO IMPORTAÇÃO ;02/06/2023;DI: 23/1056900-2
"MONITOR TECNICO 17"" KUM-1710W KONVISION";KUM-1710W;1710A23-E018;8523;IMPORTAÇÃO;VILA MATILDE BIG;06/06/2023;ALM C4 02/06/2023 (VEIO IMPORTAÇÃO ;02/06/2023;DI: 23/1056900-2
LENTE KJ20X 8.5B CANON;KJ20X 8.5B;61414119;7285;;VILA MATILDE BIG;06/06/2023;;05/06/2023;
CONV. AV 2D TERANEX BLACK MAGIC;2D TERANEX;1111986;1734;VILA MATILDE;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);06/06/2023;VEIO VILA MATILDE
MINI CONVERSOR .SDI/HDMI BLA.MAGIC;SDI TO HDMI;5826768;0071;VILA MATILDE;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);06/06/2023;VEIO VILA MATILDE
CONV. AV 2D TERANEX BLACK MAGIC;2D TERANEX;1175415;1721;VILA MATILDE;EVENTO RUBINHO VM;06/06/2023;SAIU V.MATILDE C.55 06/06/2023 (RUBINHO);06/06/2023;VEIO VILA MATILDE
HPA VZC6964A4 CPI;VZC6964A4;1100;7644;CASA.58;MANUTENÇÃO BETA ;05/06/2023;RETORNANDO MANUTENÇÃO BETA 05/06/2023;26/12/2022;VEIO F&F WORK
HPA ARMA-C125-DRM ADVANTECH;ARMA-C125-DRM;B3669;8576;BETA MANUTENÇÃO;LABORATORIO;05/06/2023;LABORATORIO 16/06/2023 (V.BETA MANUTENÇÃO);05/06/2023;VEIO F&F WORK
HPA SSPBM-C250 ADVANTECH;SSPBM-C250;AMT-C1081;8529;LABORATORIO ;BETEL MANUTENCAO;05/06/2023;SAIU MANUTENÇÃO BETEL 05/06/2023;;
HPA VZC6964A4 VARIAN;VZC6964A4 (OBS);1138;4937;BETA MANUTENÇÃO;CASA.58;02/06/2023;INSTALADO C.58 02/06/2023 CARLINHOS (ROGERIO LEVOU);;
SPECTRUM ANALYZER 8595E HP  ;8595E;4115A05091;4908;RECIFE FLY 03 DAVID;ALMOX;02/06/2023;ALM  B4 (VEIO FLY DAVID;28/02/2020;
"MONITOR TECNICO 17"" KUM-1710W KONVISION";KUM-1710W;1710A23-E016;8521;IMPORTAÇÃO;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);02/06/2023;DI: 23/1056900-2
"MONITOR TECNICO 17"" KUM-1710W KONVISION";KUM-1710W;1710A23-E017;8522;IMPORTAÇÃO;ALMOX;02/06/2023;ALM C4 02/06/2023 (VEIO IMPORTAÇÃO ;02/06/2023;DI: 23/1056900-2
CONV. AV 2D TERANEX BLACK MAGIC;2D TERANEX;1257681;7584;CASA 29;PINNACLE MANUTENÇÃO;01/06/2023;SAL MANUTENÇÃO PINNACLE;;
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;LAPK142040071;7093;CASA.28;CASA.28;01/06/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);;
SPECTRUM PSA-37D AVCOM;PSA-37D;ILEGIVEL;7919;CASA.61;CASA.28;01/06/2023;INSTALADO C.28 01/06/2023 PAULO KENNEDY (INVT);05/01/2023;VEIO F&F WORK
DECODER RD-70 ADTEC;RD-70;201313018;7711;F&F;CONTEINER TECNICO;01/06/2023;INSTALADO CONTEINER TECNICO 01/06/2023 (CASSIO/LUCAS);01/06/2023;VEIO F&F WORK
MODULADOR NS3000 NOVELSAT;NS3000;3037130803;7566;CASA.62;ALMOX-A2;07/08/2023;ALM A3 31/05/2023 (CASSIO/LUCAS) (INVT 08/2023);16/05/2023;VEIO F&F WORK
LNB PLV-804FB C-BAND NORSAT;PLV-804FB C-BAND;85N12031298;8452;CASA.62;SUCATA;31/05/2023;SUCATA 31/05/2023 (SAIU C.62 (CASSIO/LULU);;
ENCODER HVE9100 NTT ELETRON;HVE9100;E08020047;8516;CASA.58;CASA.58;31/05/2023;SAIU C.58 31/05/2023 (CARLINHOS/LUCAS);31/05/2023;VEIO F&F WORK (BOM JESUS)
LNB PLV-804FB C-BAND NORSAT;PLV-804FB C-BAND;38N089901394;8517;LABORATORIO ;FLY;31/05/2023;INSTALADO FLY 31/05/2023 (LULU/CASSIO);31/05/2023;
ENCODER HVE9200 NTT ELETRON;HVE9200;E12030114;8172;ALMOX;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;23/02/2023;VEIO F&F WORK
FILTRO 5G SATÉLITE BANDA-C 3.70 A 4.20 GHz ZATECH;ZBPFC-3742;N/C;8318;ZAP COMERCIAL ELETRONICA LTDA;ANTENA 248;30/05/2023;INSTALADO MULTIBIM 9 ESTACIONAMENTO 30/05/2023 (DAVID/PEDRO);03/04/2023- ZAP COMERCIAL ELETRONICA LTDA, DANFE 7403 R$ 2.920,00;
FILTRO 5G SATÉLITE BANDA-C 3.70 A 4.20 GHz ZATECH;ZBPFC-3742;N/C;8320;ZAP COMERCIAL ELETRONICA LTDA;ANTENA 248;30/05/2023;INSTALADO MULTIBIM 9 ESTACIONAMENTO 30/05/2023 (DAVID/PEDRO);03/04/2023- ZAP COMERCIAL ELETRONICA LTDA, DANFE 7403 R$ 2.920,00;
FILTRO 5G SATÉLITE BANDA-C 3.80 A 4.20 GHz COMBA;N/C;N/C;8328;ALMOX;CASA.18;30/05/2023;INSTALADO C.18 30/05/2023 (PEDRO/DANIEL);03/04/2023- FEITO CADASTRO;
FRAME FA9000 FOR A;FA9000;11340469;8089;BETEL MANUTENCAO;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;;
FRAME FA9000 FOR A;FA9000;11340468;7784;;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;;
HPA VZC6964A4 CPI;VZC6964A4;1784;8505;LABORATORIO;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;26/12/2022;VEIO F&F WORK
MODULADOR NS1000 NOVELSAT;NS1000;001056;7712;F&F;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;06/02/2023;VEIO F&F WORK
MODULADOR NS3000 NOVELSAT;NS3000;3037130933;8289;ALMOX;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;03/03/2023;VEIO F&F WORK
MONIT AUD LAMBDA II LINEAR ACO;LAMBDA II;22618;4457;CASA.43;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;;
MONITOR DUO S.V BLACK MAGIC;DUO S.V;1730857;7920;F&F CARRO;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;06/01/2023;VEIO F&F WORK CARRO
MONITOR PBM-217S PLURA;PBM-217S;10KPL170L280187;7027;CASA.38;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;;
NOBREAK 9PX6KI EATON;9PX6KI;G203M04041;7922;NOVO;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;01/12/2021 NF: 2011611 - INGRAM;
NOBREAK 9PX6KI EATON;9PX6KI;G203N01101;8068;NOVO;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;16/11/2022;DANFE: 11.981 - TELCABOS
PATCH VIDEO AUDIOLINE;****;****;7890;LIVE MODE;CASA.58;30/05/2023;INSTALADO CASA.58 02/02/2023;26/12/2022;RET. EQUIP. RIO JANEIRO
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;LAPK142020128;4812;BETEL MANUTENCAO;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;;
REMOTE 16R250012000C ADVANTECH;16R250012000C;AMT-C6276;4526;CASA.62;ALMOX-F2;17/08/2023;ALM F2 30/05/2023 (V.TESTE CASSIO);;
REMOTE 16R-250L12 ADVANTECH;16R-250L12;AMT-B7647;4528;SAIU TESTE BETA;ALMOX-F2;17/08/2023;ALM F2 30/05/2023 (V.TESTE CASSIO);;
ROTEADOR RF301K INTELBRAS;RF301K;WF1J17089349B;8091;;CASA.58;30/05/2023;INSTALADO C.58 27/01/2023 (CASSIO);27/01/2023;NÃO CONSTAVA SIST.
SPECTRUM ANALYZER 8591E HP;8591E;3639A05671 ;8294;LCV MANUTENÇÃO;CASA.58;30/05/2023;INSTALADO C.58 30/05/2023 CARLINHOS INVT;17/03/2023;VEIO F&F WORK ??
