FRAME DPS 475  LEITCH;DPS 475;BG475A0048;4156;;ALMOX-A3;10/08/2023;ALM A4 12/09/2021(INVT 08/2023);;
SWITCH 8 PORT DES-1008A D-LINK;DES-1008A;QS032B7008855;8572;F&F;CASA.03;17/08/2023;INSTALADO C.03 17/08/2023 (ANDRES);13/06/2023;VEIO F&F WORK
BUC NJT5667F VIA SAT;NJT5667F;ILEGIVEL;8343;CASA.30;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
BUC TA33APFE-01 NEXGENWAVE;TA33APFE-01;TA33A01KE1605;8342;CASA.30;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
CHAVE HPA XTC-114D XICOM TECH;XTC-114D;22592;7324;LABORATORIO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);30/05/2022 - DI- 22/1020652-8;
CONV. AV 2D TERANEX BLACK MAGIC;2D TERANEX;N/C;7612;CASA 29;ALMOX-B2;18/08/2023;ALM A3 31/07/2023 (V.C.29 (OSMAR);;
CONV. AV 2D TERANEX BLACK MAGIC;2D TERANEX;2738097;4182;CASA 29;ALMOX-B2;18/08/2023;ALM A3 31/07/2023 (V.C.29 (OSMAR);19/11/2019;
CONVER. FIBRA ATEM CAMERA BLACK MAGIC;ATEM CAMERA CONVERTER;1777650;8055;CASA 29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);23/01/2023;VEIO F&F WORK
CONVER. FIBRA ATEM CAMERA BLACK MAGIC;ATEM CAMERA CONVERTER;1777709;8056;CASA 29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);23/01/2023;VEIO F&F WORK
CONVERSOR FIBRA OP BLACK MAGIC;FIBRA OP 12G;ILEGIVEL;8584;CASA.29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
CONVERSOR FIBRA RECEPTOR   SEEONE;RX FIBRA;SEM SERIAL ;7289;CASA.29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);04/10/2022 NF: 000000381 SEEGMA;
CONVERSOR FIBRA RECEPTOR   SEEONE;RX FIBRA;1278;7311;CASA.29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);19/10/2022;AGURADANDO NOTA (PEDRO)
CONVERSOR FIBRA RECEPTOR   SEEONE;RX FIBRA;1277;7312;CASA.29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);19/10/2022;AGURADANDO NOTA (PEDRO)
CONVERSOR FIBRA TRANSMISSOR  SEEONE;TX FIBRA ;SEM SERIAL ;7292;CASA.29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);04/10/2022 NF: 000000381 SEEGMA;
CONVERSOR FIBRA TRANSMISSOR  SEEONE;TX FIBRA ;1279;7313;CASA.29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);19/10/2022;AGURADANDO NOTA (PEDRO)
CONVERSOR FIBRA TRANSMISSOR  SEEONE;TX FIBRA ;1280;7314;CASA.29;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);19/10/2022;AGURADANDO NOTA (PEDRO)
FRAME FA9100 FOR A;FA9100;12320456;4306;CASA.32;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);ALTERADO S/N: 12320831;
FRAME FA9100 FOR A;FA9100;12320295;0158;CASA.07;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
FRAME FA-9500 FOR A;FA-9500;13711488;4268;CASA.33;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
FRAME FA-9500 FOR A;FA-9500;13711472;4462;CASA.43;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
GERADOR 12HDKCD-5241G CUMMINS;12HDKCD-5241G;B140640560;7921;CONTEINER BRANCO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);16/07/2020;
HPA  ODU XT-400C XICOM TECH;XT-400C;11383;7190;RECIFE FLY 03 DAVID;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
HPA VZC6964A4 VARIAN;VZC6964A4 ;2173;7785;CASA.62;BETA MANUTENÇÃO;02/08/2023;SAIU MANUTENÇÃO BETA 02/08/2023;14/07/2021 (Comprou do Abelardo);
HPA VZC6964A4 VARIAN;VZC6964A4 ;240;8344;CASA.62;BETA MANUTENÇÃO;02/08/2023;SAIU MANUTENÇÃO BETA 02/08/2023;14/07/2021 (Comprou do Abelardo);
